"id","standortnr","artbot","min_alter","max_alter","clifton_park_min","clifton_park_max","baumsicht_min","baumsicht_max","sondengaenger_min","sondengaenger_max","zier_h_2000_min","zier_h_2000_max","baumportal_min","baumportal_max","mitchell_min","mitchell_max","kappel_mattheck_min","kappel_mattheck_max","lat","lng","kronendurchmesser","baumhoehe"
"194_A4A52MD","A4A52MD","Salix alba","45","50",NULL,NULL,"105","116",NULL,NULL,"105","116","101","112","45","50",NULL,NULL,"52.47386","12.93824","10-12","10-15"
"194_AMGHDNX","AMGHDNX","Betula pendula","36","48","59","79","36","48",NULL,NULL,"36","48","36","48","38","50",NULL,NULL,"52.47363","12.93816","6-8","10-15"
"804_TBA17","TBA17","Quercus robur","25","38",NULL,NULL,"29","43","48","72","29","43","48","72","25","38","32","47","52.44635","12.97518","4-6","5-10"
"135_29777","29777","Betula pendula","36","48","59","79","36","48",NULL,NULL,"36","48","36","48","38","50",NULL,NULL,"52.44652","12.97513","6-8","15-20"
"17_42--13647","42--13647","Acer platanoides","11","22","17","35","11","22","18","37","11","22",NULL,NULL,"12","25",NULL,NULL,"52.41296","13.00124","2-4","10-15"
"17_44--13926","44--13926","Acer pseudoplatanus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41364","12.99964","2-4","5-10"
"267_192","192","Robinia pseudoacacia","31","42",NULL,NULL,"31","42","47","63","31","42","43","57",NULL,NULL,NULL,NULL,"52.39271","13.11749","4-6","15-20"
"267_194","194","Quercus robur","75","88",NULL,NULL,"85","100","145","169","85","100","145","169","75","88","94","110","52.3926","13.1175","10-12","20-25"
"203_30","30","Acer platanoides","22","32","35","52","22","32","37","55","22","32",NULL,NULL,"25","38",NULL,NULL,"52.39565","13.11649","4-6","10-15"
"17_45--13804","45--13804","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41364","12.9989","4-6","10-15"
"17_45--13927","45--13927","Acer pseudoplatanus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41367","12.99963","4-6","5-10"
"98_132","132","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.38582","13.05967","8-10","20-25"
"86_46","46","Betula pendula",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.38533","13.14017","unbekannt","20-25"
"297_219","219","Tilia spec.","50","63",NULL,NULL,NULL,NULL,"97","121",NULL,NULL,"90","112","50","63",NULL,NULL,"52.46649","13.10242","8-10","15-20"
"17_46--13805","46--13805","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41364","12.99892","2-4","5-10"
"249_30","30","Pinus sylvestris","25","38","27","41","25","38","45","67",NULL,NULL,"33","49","32","47","39","59","52.37667","13.14043","6-8","15-20"
"222_314","314","Quercus spec.","100","113",NULL,NULL,NULL,NULL,"193","218",NULL,NULL,"193","218","100","113",NULL,NULL,"52.36431","13.14029","10-12","<2"
"17_46--13928","46--13928","Acer pseudoplatanus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41357","12.99942","unbekannt",">30"
"17_49--13808","49--13808","Acer platanoides",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.41367","12.99898","4-6","5-10"
"359_7","7","Robinia pseudoacacia","21","31",NULL,NULL,"21","31","32","47","21","31","29","43",NULL,NULL,NULL,NULL,"52.39543","13.10134","4-6","5-10"
"267_207","207","Tilia spec.","38","50",NULL,NULL,NULL,NULL,"72","97",NULL,NULL,"67","90","38","50",NULL,NULL,"52.39241","13.11715","10-12","15-20"
"267_129","129","Robinia pseudoacacia","31","42",NULL,NULL,"31","42","47","63","31","42","43","57",NULL,NULL,NULL,NULL,"52.3923","13.11664","4-6","15-20"
"40_ALAQ8A6","ALAQ8A6","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.46594","13.10625","6-8","15-20"
"267_100","100","Robinia pseudoacacia","31","42",NULL,NULL,"31","42","47","63","31","42","43","57",NULL,NULL,NULL,NULL,"52.39165","13.11652","6-8","20-25"
"267_101","101","Robinia pseudoacacia","52","63",NULL,NULL,"52","63","78","94","52","63","71","85",NULL,NULL,NULL,NULL,"52.39166","13.11661","6-8","15-20"
"267_103","103","Robinia pseudoacacia","73","84",NULL,NULL,"73","84","110","126","73","84","100","114",NULL,NULL,NULL,NULL,"52.39169","13.11645","10-12","15-20"
"86_74","74","Quercus rubra",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"52.38533","13.13975","unbekannt","20-25"
"249_31","31","Pinus sylvestris","50","63","55","68","50","63","90","112",NULL,NULL,"66","83","63","78","79","98","52.37668","13.14039","8-10","20-25"
"222_372","372","Quercus spec.","12","25",NULL,NULL,NULL,NULL,"24","48",NULL,NULL,"24","48","12","25",NULL,NULL,"52.3646","13.1401","2-4","5-10"
"222_380","380","Quercus spec.","63","75",NULL,NULL,NULL,NULL,"121","145",NULL,NULL,"121","145","63","75",NULL,NULL,"52.36488","13.1401","6-8","15-20"
"437_62","62","Robinia pseudoacacia","31","42",NULL,NULL,"31","42","47","63","31","42","43","57",NULL,NULL,NULL,NULL,"52.4666","13.10334","4-6","10-15"
"437_63","63","Robinia pseudoacacia","63","73",NULL,NULL,"63","73","94","110","63","73","85","100",NULL,NULL,NULL,NULL,"52.46659","13.1034","8-10","15-20"
"437_64","64","Robinia pseudoacacia","52","63",NULL,NULL,"52","63","78","94","52","63","71","85",NULL,NULL,NULL,NULL,"52.46659","13.10343","8-10","15-20"
"267_128","128","Robinia pseudoacacia","10","21",NULL,NULL,"10","21","16","32","10","21","14","29",NULL,NULL,NULL,NULL,"52.39229","13.11663","<2","10-15"
"371_27","27","Quercus robur","38","50",NULL,NULL,"43","57","72","97","43","57","72","97","38","50","47","63","52.39421","13.12152","6-8","15-20"
"140_0XKA6MA","0XKA6MA","Quercus robur","38","50",NULL,NULL,"43","57","72","97","43","57","72","97","38","50","47","63","52.37814","13.13913","6-8","10-15"
"140_79LMA2A","79LMA2A","Quercus robur","25","38",NULL,NULL,"29","43","48","72","29","43","48","72","25","38","32","47","52.37804","13.13924","6-8","15-20"
"140_AYH5KAY","AYH5KAY","Quercus robur","12","25",NULL,NULL,"14","29","24","48","14","29","24","48","12","25","16","32","52.37804","13.13919","2-4","10-15"
"140_QAAANAV","QAAANAV","Quercus robur","12","25",NULL,NULL,"14","29","24","48","14","29","24","48","12","25","16","32","52.37812","13.1391","2-4","5-10"
"297_131","131","Acer campestre","47","63",NULL,NULL,NULL,NULL,"55","74",NULL,NULL,"59","79","47","63",NULL,NULL,"52.46646","13.10267","4-6","<2"
"203_10","10","Acer platanoides","32","43","52","70","32","43","55","74","32","43",NULL,NULL,"38","50",NULL,NULL,"52.39609","13.11698","12-14","20-25"
"319_30","30","Acer campestre","32","47",NULL,NULL,NULL,NULL,"37","55",NULL,NULL,"39","59","32","47",NULL,NULL,"52.3834","13.02249","2-4","10-15"
"140_YTNR8UA","YTNR8UA","Quercus robur","12","25",NULL,NULL,"14","29","24","48","14","29","24","48","12","25","16","32","52.37806","13.13921","2-4","10-15"
"249_43","43","Quercus robur","25","38",NULL,NULL,"29","43","48","72","29","43","48","72","25","38","32","47","52.37684","13.14053","6-8","20-25"
"192_49","49","Tilia spec.","50","63",NULL,NULL,NULL,NULL,"97","121",NULL,NULL,"90","112","50","63",NULL,NULL,"52.37434","13.0132","6-8","15-20"
"14_38","38","Quercus robur","25","38",NULL,NULL,"29","43","48","72","29","43","48","72","25","38","32","47","52.37561","13.00921","4-6","15-20"
"14_52","52","Quercus robur","63","75",NULL,NULL,"71","85","121","145","71","85","121","145","63","75","78","94","52.37553","13.00941","8-10","15-20"
"222_166","166","Picea abies","9","19","19","39","10","20","16","32",NULL,NULL,"9","19","16","32","12","25","52.36477","13.13865","2-4","5-10"
"222_175/1","175/1","Quercus spec.","12","25",NULL,NULL,NULL,NULL,"24","48",NULL,NULL,"24","48","12","25",NULL,NULL,"52.36403","13.1403","2-4","10-15"
"113_33","33","Prunus avium","13","26",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"13","26","16","32",NULL,NULL,"52.36577","13.13993","4-6","2-5"
"407_98","98","Betula pendula","36","48","59","79","36","48",NULL,NULL,"36","48","36","48","38","50",NULL,NULL,"52.48537","13.12467","6-8","15-20"
